Danish,English
sød,sweet
løb,race
egen,own
ondt,Evil
barn,child
velkommen,Welcome
vise,show
fat,Fat
mens,while
omkring,around
igennem,through
fortalte,told
sit,his
problemer,problems
hva,What
slap,loose
forbi,past
gennem,through
kalder,Caller
job,job
tænker,think
ti,ten
ha,ha
fri,free
gammel,old
ringer,Rings
sjovt,Funny
færdig,done
fast,firm
snakker,Talking
våben,arms
klarer,clears
chance,chance
køre,drive
drenge,Boys
ligner,looks like
bad,bath
slår,hits
lader,barns
al,eel
stedet,the place
sidder,Sitting
ligger,lies
sa,so
hånd,hand
stå,stand
mad,food
stoppe,stop
hjemme,home
ad,ad
ske,Spoon
hader,hate
tænk,think
mest,most
seks,six
døren,the door
sgu,SGU
lavet,made
historie,history
the,The
vente,wait
tænke,think
tii,tii
nummer,number
flot,Nice
plads,space
hovedet,the head
resten,the rest
datter,daughter
svært,difficult
føler,feel
beklager,Sorry
fantastisk,fantastic
ring,ring
bor,ought to
slet,Delete
nat,night
prøv,try
helst,preferably
pengene,the money
hvilket,which
fortæller,Narrator
leve,live
mellem,between
glem,forget
ringe,call
live,Live
nyt,New
redde,save
tæt,close
kvinder,Women
blod,blood
jorden,the earth
skide,Skiing
stort,Great
spise,eat
herre,Mister
dræbt,Killed
uge,week
new,New
vand,water
tur,trip
dollars,dollars
kort,Map
sagen,the case
passer,match
luk,close
øjne,eyes
beder,Praying
lære,learn
time,hour
afsted,off
sine,Sine
spille,play
dræbte,killed
bruger,user
piger,Girls
gift,married
husker,Remembering
søster,sister
små,small
mindre,less
begynder,begins
forstået,understood
fuld,full
hjerte,heart
holdt,held
måtte,mat
huset,the House
præcis,exactly
bør,ought to
land,country
by,town
røven,The ass
øje,eye
lov,law
skynd,hurry
slut,end
fred,peace
læg,Lay
smuk,beautiful
sandheden,the truth
klokken,o'clock
spørge,ask
fedt,Cool
værsgo,here you go
spiller,player
kære,Dear
slog,beat
held,luck
kæreste,girlfriend
lkke,LKKE
unge,young
miss,Miss
lever,liver
jamen,But
knægt,boy
rigtige,right
alligevel,anyway
nede,Down
herrer,gentlemen
besked,message
slip,drop
roligt,Quiet
valg,choice
tænkt,thought
vis,View
findes,exist
oppe,up
lavede,made
seng,bed
kærlighed,love
fyre,guys
handler,trades
måneder,months
svin,pig
forstå,understand
masse,lot
find,find
dagen,the day
sætte,put
perfekt,Perfect
tom,empty
hoved,main
kl,KL
foran,in front of
idé,idea
fortalt,told
udenfor,Outside
muligt,possible
ansigt,face
agent,agent
forkert,wrong
rejse,trip
elskede,beloved
røv,ass
lyst,Lust
frank,Frank
stykke,piece
manden,the man
krig,war
Mrs,Mrs
ej,No.
hvert,Each
prøvede,tried
husk,Remember
foregår,going
vigtigt,important
aftale,appointment
venstre,left
endelig,finally
idiot,idiot
goddag,good day
Sam,Sam
svar,reply
spil,game
ønske,wish
plan,level
hårdt,hard
sætter,puts
dræber,kills
oh,Oh
sjov,fun
kamp,match
viser,shows
sikkerhed,security
millioner,Millions
sag,Case
chef,chief
skyde,shoot
højre,right
sender,sends
steder,places
arbejdet,the work
lykke,happiness
mening,opinion
damer,Ladies
værelse,room
hjælper,Helps
kør,drive
godmorgen,Good morning
derude,out there
betale,pay
uger,weeks
træk,Pull
klart,clearly
bede,pray
hænder,hands
godnat,good night
givet,given
kæmpe,competing
blot,Just
fly,aircraft
ligeglad,do not care
skyd,Shoot
film,movie
talte,spoke
ringede,called
lover,Lions
natten,the night
Charlie,Charlie
hente,pick up
syv,seven
pistol,pistol
værd,worth
sikke,What
forældre,parents
gutter,guys
Peter,Peter
rart,nice
let,easy
York,York
tja,Well
vinder,winner
fandens,damn
aner,Angle
sidst,last
tøj,clothing
værre,worse
harry,Harry
talt,spoken
fald,fall
dårligt,bad
general,general
dum,stupid
sove,sleep
hvide,White
træt,tired
tidligere,earlier
spørger,asks
derinde,in there
stod,stood
straks,immediately
købe,buy
skrive,write
javel,Yes
følge,follow
største,largest
mindste,minimum
kendte,Known
person,person
begyndte,began
mærke,feel
baby,Baby
fuck,Fuck
gider,bother
skyder,shooting
lys,light
sekunder,seconds
henter,picks up
hund,Dog
desværre,unfortunately
søde,sweetie
nød,distress
sidde,sit
skudt,shot
utroligt,Incredible
tjeneste,favor
bog,book
ende,end
tal,speak up
indenfor,within
tillykke,Congratulations
øjnene,the eyes
tv,TV
james,James
mente,meant
smule,A bit
menneske,human being
dårlig,bad
mødes,meet
skød,lap
sendt,Sent
doktor,doctor
mangler,missing
læse,read
Michael,Michael
vejret,weather
makker,Maker
kaffe,coffee
følger,follows
enhver,any
otte,Eight
onkel,Uncle
hår,hair
større,bigger
præsident,president
løbe,run
beskytte,protect
kigger,Looking
øh,Uh
fortsæt,continue
fru,Mrs.
vild,wild
åbne,Open
dyr,animals
skade,damage
billede,picture
eget,own
syg,ill
fyren,the guy
sort,black
bord,table
betaler,pays
højt,high
slået,beaten
dumme,stupid
fest,party
George,George
vinde,win
sende,send
kig,look
mike,Mike
lod,sounded
følg,Follow
lig,corpse
spiser,Eating
mistet,lost
røvhul,asshole
sex,Sex
sid,Sid
pigen,the girl
hertil,For this
ære,honour
dame,Lady
fængsel,prison
smukt,Beautiful
lede,look for
sat,SAT
anderledes,different
mester,master
kontor,office
vii,we you
døden,Death
sendte,sent
yeah,Yeah
hent,fetch
sorte,Blacks
drikke,drinking
travlt,busy
David,David
dejligt,Nice
glemt,Forgot
spor,track
tingene,the things
ung,young
skole,school
passe,fit
rør,tube
rette,fix
begynde,begin
betjent,served
forklare,explain
ide,idea
fader,Father
landet,the country
skai,Skai
hænderne,the hands
umuligt,impossible
herinde,in here
drøm,dream
kalde,call
åben,open
alting,everything
ene,one
meter,meters
venlig,friendly
vandet,the water
luften,the air
tør,dry
fanget,Caught
fange,capture
overhovedet,at all
forhold,relationship
råd,advice
frue,lady
jimmy,Jimmy
smukke,gorgeous
uanset,Regardless
stole,chairs
godeste,Goodest
født,born
forsigtig,cautious
faldt,dropped
send,Send
spurgte,inquired
netop,exactly
syntes,seemed
bekymret,concerned
skolen,the school
elske,love
familien,the family
falder,falling
stil,style
føles,feels
egne,own
fare,danger
brugte,Used
sover,sleeping
vende,reverse
guds,God's
forlade,leave
nar,when
dele,share
løber,runs
tidspunkt,point in time
advokat,lawyer
halv,half
oberst,colonel
max,Max
kendt,known
mødt,met
bo,Bo
fører,driver
kende,know
slippe,let go
lærer,teacher
slås,fight
stolt,proud
stopper,stops
læge,doctor
mund,mouth
kigge,Look
drink,drink
direkte,direct
fbi,FBI
bedst,best
mord,murder
ændre,amend
nemlig,Exactly
telefon,telephone
angreb,attack
rejser,Travel
ordre,order
sikre,ensure
normalt,normally
smid,Throw
konge,king
ægte,genuine
flyve,fly
ordne,fix
skylder,owes
skriver,writes
ni,nine
rent,clean
ødelægge,destroy
skib,ship
satan,Satan
joe,Joe
fart,speed
vender,turn
brugt,used
prøvet,tried
telefonen,the phone
vore,Our
børnene,The children
krigen,the war
kontakt,Contact
gave,gift
skør,crazy
mødte,met
skrev,wrote
ærligt,honestly
bestemt,specific
ild,fire
middag,Dinner
ryger,Smoker
satans,Satans
naturligvis,Of course
kørte,driving
stemme,vote
slemt,Bad
bob,Bob
stand,Stand
ah,Ah
lyset,the light
problemet,The problem
paul,Paul
lukket,closed
skid,Shit
hav,sea
føle,feel
forsøger,trying
aftes,Night
fars,Father
jesus,Jesus
blå,blue
krop,body
flyt,move
historien,the story
forkerte,Incorrect
glemme,forget
pænt,nice
pris,price
mistede,lost
ma,must
alex,Alex
dér,There
glemte,forgot
forsvind,get lost
stærk,strong
billeder,Pictures
hurtigere,faster
starte,start
nær,near
taber,loser
undskylde,excuse
frøken,miss
reddede,saved
bill,Bill
levende,live
bryder,Breaks
fleste,Most
derovre,over there
løgn,lie
lært,learned
skrevet,written
magt,power
ro,Ran
underligt,weird
venligst,Please
paris,Paris
løs,loose
an,An
dræb,Kill
selvom,though
enkelt,single
sang,song
vred,angry
øl,beer
stykker,pieces
rum,room
lyver,lies
sulten,hungry
tredje,third
musik,music
parat,ready
masser,Lots
løjtnant,lieutenant
interessant,interesting
midt,in the middle
starter,Starting
miste,lose
slipper,LOADS
ender,ends
vildt,Wild
kammerat,companion
kampen,the fight
opgave,task
verdens,The world
professor,professor
onde,Evil
hospitalet,the hospital
flytte,move
bed,pray
tide,Tide
red,Ed
lægge,put
snak,chat
beviser,proof
mister,Mister
heldig,lucky
sur,angry
sad,Sad
stjal,stole
skibet,the ship
trække,drag
all,All
færdige,done
forbandede,damned
skam,shame
kraft,power
skud,shot
tidligt,early
savner,miss
styrke,strength
egentlig,actually
danse,dance
pludselig,suddenly
wow,Wow
fjols,fool
lege,play
fremtiden,the future
tusind,thousand
li,Li
klarede,managed
kaldte,called
stol,chair
sã,so
hær,Army
ren,clean
læst,Read
drengen,The boy
skaffe,provide
hel,whole
form,form
mål,Goal
nyheder,news
ramt,hit
lejlighed,apartment
kræver,demands
sko,shoe
skønt,wonderful
respekt,Respect
nemt,Easy
både,boats
sov,Sleep
ejer,owner
værste,worst
tegn,sign
kontrol,control
gaden,the street
overalt,everywhere
lærte,taught
mon,Mon
ganske,quite
spørg,ask
himlen,heaven
viste,showed
ønskede,wished
skrid,step
sværger,swearing
sjæl,soul
fin,fine
fucking,Fucking
høj,high
stoler,trust
plejede,used to
spillet,the game
skæbne,fate
mary,Mary
forelsket,in love
lav,low
præsidenten,the president
brød,Bread
ray,Ray
kys,kiss
km,km
flyver,Flying
følelser,emotions
særlig,particular
fortsætte,continue
tony,Tony
ødelagt,Destroyed
hul,hole
fisk,fish
håb,hope
johnny,Johnny
arbejdede,worked
ét,one
flyet,the plane
løbet,run
trækker,Pulling
ringet,Called
bringe,bring
skidt,Shit
vor,Our
hånden,the hand
begyndt,Beginning
frygt,fear
søger,searching
sten,stone
området,the area
meningen,The meaning
vend,Turn
right,Right
alvorligt,Seriously
drømme,dream
frodo,Frodo
tjek,Check
måned,month
røre,touch
evigt,forever
hvilke,which ones
interesseret,Interested
bekymre,worry
medmindre,Unless
bobby,Bobby
mulighed,possibility
ventet,waited
satte,set
danny,Danny
lovede,promised
jul,Christmas
adgang,access
dernede,down there
la,LA
skål,Cheers
bond,Bond
fornøjelse,pleasure
forsøgte,tried
hjerne,brain
ligge,lie
virkede,worked
vågn,Wake
udmærket,fine
amerikanske,American
pistolen,The gun
lægger,puts
hård,hard
falde,fall
ens,alike
møder,meetings
bringer,brings
ekstra,additional
pã,on
røde,red
ærlig,honest
usa,USA
såret,hurt
tjener,serving
pokker,Damn
retten,The Court
derfra,from there
personligt,personally
henry,Henry
endda,Even
sælge,sell
is,ice
forlader,Leaving
stakkels,poor
sødt,sweet
dens,Its
minder,Memories
dejlig,lovely
kongen,the king
forlod,left
ringen,the ring
smart,smart
hest,horse
enten,either
tanker,Thoughts
lngen,LNG
dybt,Deep
fod,foot
nervøs,nervous
farligt,Dangerous
lukke,close
tænder,teeth
hov,Oops
Jake,Jake
hurtig,fast
hop,Jump
Sarah,Sarah
føre,lead
deroppe,up there
drikker,Drinking
bære,bear
vandt,Won
tabt,lost
richard,Richard
klaret,done
lå,lay
Billy,Billy
lagde,laid
hjalp,helped
fanger,prisoners
nødvendigt,necessary
enig,Agree
start,start
Mark,field
dumt,stupid
amerika,America
køber,buyer
kald,Call
san,San
søvn,sleep
navnet,The name
bogen,the book
fortjener,deserves
mindst,least
morder,killer
bagefter,afterwards
hvid,white
område,territory
tilfælde,coincidence
vælge,choose
læser,reader
rejs,Travel
hverken,Neither
Eddie,Eddie
London,London
Dave,Dave
barnet,the child
båd,boat
sindssyg,insane
minut,minute
festen,the party
engelsk,English
sælger,selling
frokost,lunch
love,lion
varmt,warm
styr,Guide
glæde,joy
soldater,Soldiers
gulvet,the floor
te,tea
forskellige,various
ryggen,The back
ikk,not
planen,the plan
ordner,fixes
lytter,Listens
stemmer,votes
derhen,there
and,spirit
Jim,Jim
overleve,stay alive
stjålet,stolen
fuldstændig,complete
will,Will
fyldt,full
forsvandt,disappeared
besøg,visit
hotel,hotel
stjæle,steal
luft,air
fed,fat
åbner,opens
fremtid,future
derind,in there
brænder,Burner
takke,thank
kæmper,Fighting
vagt,guard
henne,her
højere,higher
planer,Plans
fatter,understand
gruppe,group
solen,the sun
bar,bar
vilje,will
Kate,Kate
Chris,Chris
fyret,fired
dengang,back then
smutte,slip away
lagt,laid
ventede,waited
bevise,prove
ovre,upper
glemmer,forget
fortsætter,continues
Washington,Washington
bortset,apart
korrekt,correct
derefter,Then
gal,mad
nærheden,The proximity
fandeme,damn
situation,situation
forsøg,attempt
lukker,Closing
sergent,sergeant
chancen,the chance
smerte,pain
bygningen,the building
valgte,chose
lækker,delicious
mors,Mors
fede,Fat
overstået,over
blandt,among
klog,wise
glas,glass
tilladelse,permission
købte,bought
fjern,Remove
floden,the river
regler,Rules
styre,manage
smutter,Slips
rummet,the room
Nick,Nick
politi,police
forventer,expect
bestemmer,determines
absolut,absolutely
drejer,Drejer
overfor,transfer
sluk,power off
dollar,dollar
myrdet,murdered
selvmord,suicide
lykkelig,happy
jord,land
brev,letter
betalt,paid
modtaget,Received
dårlige,bad
bank,bank
jobbet,the job
varm,warm
ovenpå,on top
tit,often
position,position
kælling,bitch
forestille,imagine
kræfter,strength
stikker,Sticking
gravid,pregnant
hed,hot
ordrer,orders
skifter,shifts
kød,meat
vigtig,important
morges,morning
røg,smoke
lyt,Listen
stoffer,drugs
million,million
arm,arm
overraskelse,surprise
fremad,Forward
træ,tree
william,William
beslutning,decision
ramte,hit
tjene,serve
nøglen,the key
mørke,darkness
mission,mission
dommer,judging
skabe,create
især,especially
maske,maybe
uheld,accident
soldat,soldier
allesammen,everybody
giftes,married
vinduet,the window
walter,Walter
års,years
åbenbart,apparently
fa,few
flytter,Moving
herover,Over here
slag,blows
målet,the goal
hænger,hangs
hjertet,the heart
skatter,Taxes
broen,the bridge
halvt,half
dæk,tire
klasse,grade
seriøst,seriously
gratis,free of charge
selskab,company
bryde,break
arthur,Arthur
tvivl,doubt
folkens,the people's
navne,Names
knap,button
tilhører,belongs to
frihed,freedom
åbn,open
hemmelighed,secret
fødselsdag,birthday
sørg,Make sure
rige,realm
jones,Jones
virkeligt,Really
munden,mouth
guld,gold
gifte,Married
medicin,medicine
øen,the island
løj,lied
ændret,changed
herind,In here
biler,cars
svaret,the answer
ældre,Elderly
sengen,the bed
grin,laughs
kontoret,the office
rend,Rend
undgå,avoid
rører,touches
vegne,behalf
efterlod,left behind
havet,the ocean
bærer,carrier
reglerne,the rules
major,Major
rom,Rome
svare,reply
rød,red
optaget,taken
flygte,escape
bedt,Prayed
glæder,joys
spændende,exciting
oplysninger,information
ødelægger,destroying
sværd,sword
virke,work
kørt,driven
forsvinder,disappears
herude,out here
forskel,difference
låne,borrow
snakkede,talked
tabte,lost
særligt,Especially
pik,Cock
frisk,fresh
fjerne,remove
totalt,in total
leo,Leo
skridt,steps
godaften,good evening
nærmere,closer
købt,bought
kop,cup
koster,costs
anna,Anna
spillede,played
stik,Sticks
langsomt,slowly
hyggeligt,cozy
regel,Rule
halvdelen,half
vælger,choose
robert,Robert
specielt,especially
dan,Dan
charles,Charles
gemmer,hide
koldt,cold
følte,felt
luder,whore
rod,red
beholde,retain
startede,started
ofte,frequent
ferie,vacation
drik,drink
loven,the law
sejt,tough
savnet,missing
mærkeligt,strange
dét,that
angrebet,attacked
sager,Cases
dygtig,Skill
låst,Locked
bøger,books
pigerne,the girls
systemet,the system
forsvundet,disappeared
ansvar,responsibility
morsomt,Funny
skabt,created
pakke,package
bordet,the table
varme,heat
smide,throw
lugter,Smells
brødre,brothers
street,Street
lyve,lie
nr,No.
toilettet,the toilet
stikke,Stick
træner,coach
date,Date
alder,age
vaere,be
fængslet,The prison
cia,CIA
båden,the boat
big,Big
synge,sing
stak,stack
plejer,carer
stands,Stands
toget,the train
nærmer,approaching
larry,Larry
kors,cross
kilometer,kilometer
lytte,listen
forbindelse,connection
smil,smile
led,LED
trænger,need
pokkers,Pokers
los,loose
england,England
styrer,Manager
of,of
eksempel,example
tommy,Tommy
høje,tall
gælder,applies
van,van
imellem,between
stiller,Stiller
skoven,the forest
nord,nerd
vidne,witness
claire,Claire
herren,the Lord
ond,evil
læste,read
glade,Happy
liste,list
thomas,Thomas
smed,blacksmith
partner,partner
sørge,mourn
trods,Despite
hævn,revenge
pause,break
majestæt,Majesty
hæren,the army
hmm,Hmm
valgt,selected
gemme,Saving
vilde,wild
herovre,over here
show,Show
vin,wine
dobbelt,double
skriv,Write
computer,PC
go,bark
lee,Lee
ofre,sacrifice
desuden,Moreover
gangen,the hallway
glip,Miss
morgenmad,breakfast
hundrede,hundred
mødtes,met
tider,Times
forretning,business
bånd,ties
forpulede,fucking
martin,Martin
kiggede,looked
bevæger,Moves
jane,Jane
bombe,bomb
besøge,visit
ifølge,according to
række,row
nåde,mercy
ballade,Trouble
lægen,the doctor
overlever,survive
svarer,answers
rene,clean
magi,magic
regne,rain
herhen,here
utrolig,incredible
vrede,anger
av,Ouch
toppen,the top
joey,Joey
nul,zero
fungerer,Works
billedet,the picture
fødder,feet
mareridt,Nightmares
idag,Today
bort,away
filmen,the movie
træd,Step
type,type
super,Super
rapport,report
tidlig,early
fjenden,The enemy
vidst,Knowed
farlig,dangerous
spist,eaten
banken,the bank
tøs,lass
vundet,won
tosset,crazy
davs,Davs
smut,Smut
grunden,the reason
holdet,the team
regner,Rains
mands,Man's
heldige,lucky
reddet,saved
bud,bid
hvile,rest
syd,south
hunde,Dogs
klap,flap
forbandet,Cursed
halsen,The neck
ordentligt,properly
hernede,down here
rig,rich
ulykke,accident
andy,Andy
planet,planet
city,City
Rachel,Rachel
fjender,enemies
muligvis,possibly
doc,Doc
tiders,Times
lord,Lord
forsvinde,disappear
samlet,gathered
program,program
efterlade,leave behind
tjekke,check
ik,IK
visse,certain
maria,Mary
opmærksomhed,attention
spis,Eat
kjole,dress
vidt,far
dans,dance
maden,the food
æg,egg
steve,Steve
læs,Read
ed,oath
bolden,the ball
kvinden,the woman
ar,year
tryk,pressure
lokale,Local
jah,Yeah
fortræd,Under
bevis,proof
lyd,Sound
bygge,Build
tilgiv,forgive
regeringen,the government
bussen,the bus
boede,lived
løfte,lift
bryllup,wedding
anholdt,arrested
check,check
brian,Brian
taske,bag
præsentere,present
tabe,lose
senator,Senator
kysse,Kissing
ordet,The word
nåede,made it
dronning,queen
sprog,language
brænde,burn
energi,energy
tante,Aunt
pete,Pete
jerry,Jerry
tæller,counting
perfekte,Perfect
aftenen,The evening
signal,signal
fremmede,strangers
bedstemor,grandmother
fætter,cousin
lucy,Lucy
hat,hat
bedstefar,grandfather
forsøge,try
flok,bunch
nået,reached
bygget,build
fulde,full
kaptajnen,The Captain
støtte,support
mexico,Mexico
situationen,the situation
hotellet,the hotel
samtale,conversation
kurs,price
liget,The corpse
lange,long
kode,code
hvabehar,Hvabehar
smith,Smith
derhjemme,at home
ansigtet,the face
fælde,trap
ændrer,change
skilt,sign
lugte,odors
evner,Abilities
fulgte,followed
procent,percentage
sand,TRUE
fjende,enemy
lækkert,Delicious
opkald,Call
hellige,Holy
kevin,Kevin
system,system
drengene,The boys
ægteskab,marriage
bukserne,The pants
dukker,dolls
uskyldig,innocent
ødelagde,destroyed
grader,degrees
vigtigste,most important
banen,the course
stjerne,star
lande,Countries
chefen,the boss
broder,brother
glædelig,happy
slappe,Relax
fis,Fis
gøres,done
løse,solve
undersøge,look into
ledte,Lead
smider,throws
kortet,the card
vegas,Vegas
planlagt,scheduled
point,point
fredag,Friday
næppe,barely
forfærdeligt,terrible
retning,direction
tanke,thought
bagved,Behind
viiie,VIIIE
firma,Business
samle,gather
gas,gas
operation,operation
historier,Stories
knæ,knee
hejsa,Hi there
prinsesse,princess
rammer,framework
skaber,Creator
frygter,Fear
danser,dancing
blomster,flowers
stærke,strong
håbede,hoped
minde,Memorial
kaldes,is called
leger,play
ga,go
kat,cat
skøre,crazy
ugen,the week
ombord,on board
tilbud,offer
ramme,frame
tættere,closer
bragt,brought
carter,Carter
kaste,throw
kirken,the church
phoebe,Phoebe
stoppede,stopped
dække,cover
kamera,camera
vidunderligt,Wonderful
sind,mind
blind,blind
deler,shares
forladt,abandoned
gæster,Guests
sal,sole
drop,Drop
skyldig,guilty
bekymrer,worries
offer,victim
kong,King
faldet,decreased
louis,Louis
gæt,guess
behold,keep
synd,sin
dna,DNA
unger,kids
radio,radio
kylling,chicken
muligheder,options
nægter,denies
enden,the end
betjente,Officers
kugle,ball
afdeling,department
stranden,the beach
skifte,switch
Ryan,Ryan
abe,monkey
afstand,distance
mistænkte,suspect
sinde,Mind
lørdag,Saturday
spørgsmålet,the question
don,Don
vågen,awake
angående,regarding
kast,throw
karriere,career
Marty,Marty
hænge,hang
gemt,saved
stærkt,strong
slem,Bad
stinker,stinks
smager,Tastes
ram,Ram
fremragende,Excellent
fugl,bird
st,st
bøsse,Gay
virkeligheden,Reality
data,Data
smag,taste
Jason,Jason
angeles,Angeles
besluttet,decided
kniv,knife
personer,persons
jep,Yup
listen,the list
skære,cut
ryg,back
folket,the people
cool,Cool
mød,meet
sherif,Sherif
grænsen,the border
mørket,the darkness
drage,Dragon
bukser,pants
savne,miss
begyndelsen,the beginning
privat,private
ur,clock
prisen,the price
pres,pressure
Simon,Simon
flyttet,moved
Roger,Roger
ted,Ted
betyde,mean
frankrig,France
cirka,about
beskytter,Protects
Daniel,Daniel
amerikansk,American
gid,may
mændene,the men
bytte,exchange
trist,sad
stationen,The station
skjule,hide
Chuck,Chuck
angriber,attacker
gar,walks
uh,Uh
næ,Well
vest,west
fine,Fine
falsk,FALSE
succes,success
omgang,lap
eftermiddag,afternoon
heste,Horses
nyder,enjoy
køkkenet,the kitchen
eksisterer,exists
vågner,Waking up
flyttede,moved
prins,Prince
sekund,second
forslag,proposals
størrelse,size
bygning,building
stærkere,stronger
skylden,blame
ordnet,sorted
kaldt,called
undskyldning,apology
aiie,Aiie
derover,over there
information,information
Alan,Alan
Lisa,Lisa
smidt,thrown
tillid,confidence
lukkede,closed
papirer,papers
spiste,ate
bruges,used
ryge,smoke
rejste,traveled
nedenunder,below
Matt,Matt
imponerende,impressive
varer,Items
voksen,adult
seneste,most recent
græde,cry
Barry,Barry
fuldt,Full
leg,play
tyve,thieves
herned,Here
Eric,Eric
alarm,Alarm
syge,Sick
morderen,the killer
meste,most
forstod,understood
skiderik,skiing
Alice,Alice
forbudt,forbidden
nyde,enjoy
årevis,for years
sande,TRUE
you,You
rar,pleasant
syn,vision
Edward,Edward
hjernen,the brain
Grace,Grace
begynd,Begin
snakket,talked
agenter,agents
foretrækker,prefer
porten,The gate
hud,skin
lyde,Sounds
rolle,role
radioen,the radio
boss,Boss
king,King
vædde,bet
opfører,behaves
college,College
blodet,the blood
gudskelov,thank God
adresse,address
gentager,Repeat
veninde,friend
bid,bite
væggen,the wall
tab,loss
tim,Tim
scott,Scott
ledt,led
beskidte,dirty
fløj,flew
sørger,Makes
farten,the speed
opdagede,discovered
please,Please
adam,Adam
næse,nose
forvirret,confused
troet,believed
hemmelige,Secret
vendt,turned
